processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3031; 0.90; 1.70; 17.51; 10185.10; 29.79; 0.00;0;0;22;3;8;12;2;33;0;0;0;0;864;840; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -301.99; ERRORS : 
5031; 1.00; 1.80; 17.53; 10185.10; 29.83; 430.38;0;0;22;3;8;12;2;34;0;0;0;0;869;860; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -301.18; ERRORS : 
7031; 1.00; 1.70; 17.53; 10184.90; 29.85; 437.39;400;0;22;3;8;12;2;36;0;0;0;0;866;835; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -298.76; ERRORS : 
9031; 1.00; 1.80; 17.55; 10185.10; 29.86; 439.10;405;0;22;3;8;12;2;38;0;0;0;0;863;871; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -297.15; ERRORS : 
11031; 1.00; 1.80; 17.55; 10185.10; 29.86; 444.04;400;0;22;3;8;12;2;40;0;0;0;0;860;844; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -299.57; ERRORS : 
13031; 1.00; 1.70; 17.56; 10185.10; 29.86; 446.40;400;0;22;3;8;12;2;42;0;0;0;0;865;866; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -297.96; ERRORS : 
15031; 1.00; 1.50; 17.57; 10185.10; 29.87; 448.78;400;0;22;3;8;12;2;44;0;0;0;0;860;874; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -298.76; ERRORS : 
17031; 1.10; 1.60; 17.58; 10185.10; 29.87; 452.41;400;0;22;3;8;12;2;46;0;0;0;0;863;889; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -299.57; ERRORS : 
19031; 1.10; 1.60; 17.59; 10184.90; 29.86; 453.63;400;0;22;3;8;12;2;48;0;0;0;0;866;905; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -301.99; ERRORS : 
21031; 1.10; 1.60; 17.59; 10185.10; 29.88; 457.96;400;0;22;3;8;12;2;50;0;0;0;0;866;852; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -299.57; ERRORS : 
23031; 1.00; 1.60; 17.60; 10184.90; 29.85; 456.10;400;0;22;3;8;12;2;52;0;0;0;0;873;877; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -298.76; ERRORS : 
25031; 1.00; 1.60; 17.61; 10184.90; 29.85; 462.69;400;0;22;3;8;12;2;54;0;0;0;0;871;832; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -299.57; ERRORS : 
27031; 1.10; 1.60; 17.61; 10185.10; 29.85; 460.16;400;0;22;3;8;12;2;56;0;0;0;0;871;896; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -298.76; ERRORS : 
29031; 1.00; 1.60; 17.62; 10184.90; 29.83; 463.01;400;0;22;3;8;12;2;58;0;0;0;0;873;908; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -297.96; ERRORS : 
