processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
12000,0.70, 5.70,23.45, 10199.10, 19.91, 538.76,400, 0,22,4,27,7,58,1,0,0,0,0,00851, 00814,0.02,0.01,0.02,0.02,1.32,7.79,-2415.76,
14000,0.60, 5.70,23.41, 10198.90, 19.85, 540.49,400, 0,22,4,27,7,58,2,0,0,0,0,00851, 00873,0.02,0.02,0.02,0.02,1.25,7.86,-2413.34,
16000,0.60, 5.70,23.34, 10198.90, 19.82, 542.23,400, 0,22,4,27,7,58,4,0,0,0,0,00852, 00872,0.02,0.02,0.02,0.02,1.26,7.83,-2410.92,
18000,0.60, 5.20,23.29, 10198.90, 19.82, 543.11,400, 0,22,4,27,7,58,6,0,0,0,0,00861, 00888,0.02,0.02,0.02,0.02,1.25,7.86,-2414.95,
20000,0.60, 4.90,23.25, 10199.10, 19.84, 543.99,405, 0,22,4,27,7,58,8,0,0,0,0,00871, 00917,0.02,0.02,0.02,0.02,1.27,7.84,-2414.95,
22000,0.60, 4.80,23.22, 10199.30, 19.84, 541.80,405, 0,22,4,27,7,58,10,0,0,0,0,00871, 00888,0.02,0.02,0.02,0.02,1.28,7.81,-2413.34,
24000,0.60, 3.90,23.19, 10199.10, 19.86, 540.49,400, 0,22,4,27,7,58,12,0,0,0,0,00866, 00858,0.02,0.02,0.02,0.02,1.24,7.86,-2414.95,
26000,0.60, 3.90,23.18, 10199.30, 19.87, 545.32,400, 0,22,4,27,7,58,14,0,0,0,0,00872, 00867,0.02,0.02,0.02,0.02,1.31,7.78,-2414.15,
28000,0.50, 3.80,23.17, 10199.10, 19.87, 545.76,400, 0,22,4,27,7,58,16,0,0,0,0,00870, 00886,0.02,0.02,0.02,0.02,1.27,7.81,-2414.95,
30000,0.50, 4.20,23.16, 10199.30, 19.89, 543.11,400, 0,22,4,27,7,58,18,0,0,0,0,00864, 00860,0.02,0.02,0.02,0.02,1.26,7.82,-2414.15,
32000,0.50, 4.20,23.15, 10199.10, 19.89, 548.43,400, 0,22,4,27,7,58,20,0,0,0,0,00866, 00873,0.02,0.02,0.02,0.02,1.24,7.86,-2413.34,
34000,0.40, 2.20,23.15, 10198.90, 19.90, 548.88,400, 0,22,4,27,7,58,22,0,0,0,0,00864, 00896,0.02,0.02,0.02,0.02,1.22,7.84,-2414.15,
36000,0.50, 5.00,23.15, 10198.90, 19.90, 551.13,400, 0,22,4,27,7,58,24,0,0,0,0,00859, 00855,0.02,0.02,0.02,0.02,1.24,7.85,-2412.54,
38000,0.50, 5.40,23.15, 10198.90, 19.90, 549.33,400, 0,22,4,27,7,58,26,0,0,0,0,00858, 00859,0.02,0.02,0.02,0.02,1.24,7.84,-2412.54,
40000,0.50, 5.40,23.15, 10198.90, 19.89, 552.04,400, 0,22,4,27,7,58,28,0,0,0,0,00853, 00851,0.02,0.02,0.02,0.02,1.24,7.84,-2412.54,
42000,0.60, 6.90,23.15, 10198.90, 19.90, 552.04,400, 0,22,4,27,7,58,30,0,0,0,0,00849, 00837,0.02,0.02,0.02,0.02,1.25,7.82,-2413.34,
44000,0.60, 6.90,23.15, 10198.90, 19.90, 553.40,400, 0,22,4,27,7,58,32,0,0,0,0,00852, 00860,0.02,0.02,0.02,0.02,1.25,7.84,-2412.54,
