processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.30; 0.70; 21.81; 10222.30; 12.59; 1345.00;423;3;22;3;4;14;44;31;0;0;0;0;288;286; 0.02; 0.02; 0.02; 0.02; 1.21; 7.77; -2415.76; ERRORS : 
4987; 0.30; 1.00; 21.81; 10222.10; 12.60; 1340.98;425;3;22;3;4;14;44;33;0;0;0;0;286;280; 0.02; 0.02; 0.02; 0.02; 1.22; 7.77; -2402.87; ERRORS : 
6987; 0.40; 1.00; 21.82; 10222.10; 12.59; 1345.00;423;3;22;3;4;14;44;35;0;0;0;0;284;267; 0.02; 0.02; 0.02; 0.02; 1.23; 7.74; -2414.95; ERRORS : 
8987; 0.40; 1.00; 21.82; 10222.10; 12.58; 1339.64;423;3;22;3;4;14;44;37;0;0;0;0;284;310; 0.02; 0.02; 0.02; 0.02; 1.25; 7.73; -2414.15; ERRORS : 
10987; 0.40; 1.00; 21.82; 10222.10; 12.58; 1345.00;423;3;22;3;4;14;44;39;0;0;0;0;288;289; 0.02; 0.02; 0.01; 0.02; 1.24; 7.72; -2409.31; ERRORS : 
12987; 0.40; 1.00; 21.83; 10222.10; 12.57; 1350.40;423;3;22;3;4;14;44;41;0;0;0;0;295;319; 0.02; 0.02; 0.02; 0.02; 1.23; 7.73; -2415.76; ERRORS : 
14987; 0.40; 0.90; 21.83; 10222.10; 12.56; 1345.00;423;3;22;3;4;14;44;43;0;0;0;0;294;288; 0.02; 0.02; 0.02; 0.02; 1.28; 7.69; -2412.54; ERRORS : 
16987; 0.40; 0.90; 21.84; 10221.90; 12.55; 1342.32;423;3;22;3;4;14;44;45;0;0;0;0;293;275; 0.02; 0.02; 0.01; 0.02; 1.23; 7.72; -2412.54; ERRORS : 
18987; 0.40; 1.00; 21.84; 10222.10; 12.56; 1351.76;423;3;22;3;4;14;44;47;0;0;0;0;291;313; 0.02; 0.02; 0.02; 0.02; 1.23; 7.76; -2413.34; ERRORS : 
20987; 0.40; 0.90; 21.84; 10222.10; 12.54; 1354.48;423;3;22;3;4;14;44;49;0;0;0;0;291;290; 0.01; 0.02; 0.02; 0.02; 1.21; 7.77; -2438.32; ERRORS : 
22987; 0.40; 1.10; 21.85; 10221.90; 12.55; 1347.69;423;3;22;3;4;14;44;51;0;0;0;0;292;296; 0.02; 0.02; 0.02; 0.02; 1.24; 7.73; -2410.92; ERRORS : 
24987; 0.40; 1.20; 21.85; 10221.90; 12.55; 1350.40;423;3;22;3;4;14;44;53;0;0;0;0;289;321; 0.02; 0.02; 0.02; 0.02; 1.26; 7.72; -2414.95; ERRORS : 
26987; 0.40; 1.20; 21.86; 10221.70; 12.53; 1347.69;423;3;22;3;4;14;44;55;0;0;0;0;291;327; 0.01; 0.02; 0.02; 0.02; 1.16; 7.78; -2416.57; ERRORS : 
28987; 0.40; 1.20; 21.86; 10221.70; 12.52; 1351.76;423;3;22;3;4;14;44;57;0;0;0;0;295;335; 0.02; 0.02; 0.02; 0.02; 1.27; 7.71; -2416.57; ERRORS : 
30987; 0.40; 1.10; 21.86; 10221.90; 12.51; 1349.05;423;3;22;3;4;14;44;59;0;0;0;0;303;303; 0.02; 0.02; 0.02; 0.02; 1.27; 7.73; -2406.90; ERRORS : 
32987; 0.40; 1.10; 21.87; 10221.90; 12.53; 1353.12;423;3;22;3;4;14;45;1;0;0;0;0;302;296; 0.02; 0.02; 0.02; 0.02; 1.20; 7.78; -2416.57; ERRORS : 
34987; 0.40; 0.90; 21.87; 10221.70; 12.52; 1343.66;423;3;22;3;4;14;45;3;0;0;0;0;302;295; 0.02; 0.02; 0.02; 0.02; 1.29; 7.68; -2418.18; ERRORS : 
36987; 0.40; 1.10; 21.87; 10221.70; 12.52; 1357.21;423;3;22;3;4;14;45;5;0;0;0;0;295;286; 0.02; 0.01; 0.02; 0.02; 1.31; 7.68; -2414.95; ERRORS : 
38987; 0.40; 1.00; 21.88; 10221.70; 12.49; 1343.66;423;3;22;3;4;14;45;7;0;0;0;0;299;295; 0.01; 0.02; 0.02; 0.02; 1.19; 7.79; -2415.76; ERRORS : 
40987; 0.40; 1.00; 21.88; 10221.50; 12.49; 1350.40;423;3;22;3;4;14;45;9;0;0;0;0;298;300; 0.01; 0.02; 0.02; 0.02; 1.21; 7.77; -2416.57; ERRORS : 
42987; 0.40; 1.10; 21.88; 10221.90; 12.49; 1350.40;423;3;22;3;4;14;45;11;0;0;0;0;299;340; 0.02; 0.02; 0.02; 0.02; 1.22; 7.75; -2415.76; ERRORS : 
44987; 0.40; 1.00; 21.89; 10221.70; 12.48; 1358.59;425;3;22;3;4;14;45;13;0;0;0;0;294;262; 0.02; 0.02; 0.02; 0.02; 1.23; 7.75; -2416.57; ERRORS : 
46987; 0.40; 1.00; 21.89; 10221.90; 12.48; 1353.12;423;3;22;3;4;14;45;15;0;0;0;0;296;313; 0.02; 0.01; 0.02; 0.02; 1.32; 7.66; -2414.95; ERRORS : 
