processor_millis;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
0;1.8;1.95;19.9;0;14;0;0;0;22;4;1;5;44;45;0;0;0;0;0;-1;0;0;0;0;0;0;0;
62000;1.66;1.81;19.7;0;14;0;0;0;22;4;1;5;45;47;0;0;0;0;0;-1;0;0;0;0;0;0;0;
123000;1.62;1.79;19.3;0;14;0;0;0;22;4;1;5;46;48;0;0;0;0;0;-1;0;0;0;0;0;0;0;
184000;1.94;2.15;19;0;14;0;0;0;22;4;1;5;47;49;0;0;0;0;0;-1;0;0;0;0;0;0;0;
245000;1.92;2.13;18.5;0;14;0;0;0;22;4;1;5;48;50;0;0;0;0;0;-1;0;0;0;0;0;0;0;
306000;1.75;1.99;18;0;14;0;0;0;22;4;1;5;49;51;0;0;0;0;0;-1;0;0;0;0;0;0;0;
367000;1.57;1.79;17.5;0;14;0;0;0;22;4;1;5;50;52;0;0;0;0;0;-1;0;0;0;0;0;0;0;
428000;1.81;2.05;16.9;0;14;0;0;0;22;4;1;5;51;53;0;0;0;0;0;-1;0;0;0;0;0;0;0;
489000;1.98;2.21;16.3;0;14;0;0;0;22;4;1;5;52;54;0;0;0;0;0;-1;0;0;0;0;0;0;0;
550000;1.78;1.97;15.7;0;14;0;0;0;22;4;1;5;53;55;0;0;0;0;0;-1;0;0;0;0;0;0;0;
611000;1.49;1.67;15;0;14;0;0;0;22;4;1;5;54;56;0;0;0;0;0;-1;0;0;0;0;0;0;0;
672000;1.64;1.84;14.4;0;14;0;0;0;22;4;1;5;55;57;0;0;0;0;0;-1;0;0;0;0;0;0;0;
734000;1.56;1.74;13.7;0;14;0;0;0;22;4;1;5;56;59;0;0;0;0;0;-1;0;0;0;0;0;0;0;
795000;1.8;2.01;13.1;0;14;0;0;0;22;4;1;5;58;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;
856000;1.61;1.8;12.5;0;14;0;0;0;22;4;1;5;59;1;0;0;0;0;0;-1;0;0;0;0;0;0;0;
917000;1.88;2.09;11.9;0;14;0;0;0;22;4;1;6;0;2;0;0;0;0;0;-1;0;0;0;0;0;0;0;
978000;2.25;2.49;11.3;0;14;0;0;0;22;4;1;6;1;3;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1039000;1.97;2.21;10.7;0;14;0;0;0;22;4;1;6;2;4;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1100000;1.78;2;10.2;0;14;0;0;0;22;4;1;6;3;5;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1161000;2.08;2.31;9.7;0;14;0;0;0;22;4;1;6;4;6;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1222000;1.99;2.22;9.2;0;14;0;0;0;22;4;1;6;5;7;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1283000;2.06;2.31;8.7;0;14;0;0;0;22;4;1;6;6;8;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1344000;1.96;2.19;8.3;0;14;0;0;0;22;4;1;6;7;9;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1406000;2.34;2.65;7.9;0;15;0;0;0;22;4;1;6;8;11;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1467000;1.56;1.76;7.5;0;15;0;0;0;22;4;1;6;9;12;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1528000;2.08;2.33;7.1;0;15;0;0;0;22;4;1;6;10;13;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1589000;2.25;2.53;6.7;0;15;0;0;0;22;4;1;6;11;14;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1650000;1.84;2.06;6.4;0;15;0;0;0;22;4;1;6;12;15;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1711000;1.85;2.06;6.1;0;15;0;0;0;22;4;1;6;13;16;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1772000;1.82;2.01;5.7;0;15;0;0;0;22;4;1;6;14;17;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1833000;2.01;2.21;5.4;0;15;0;0;0;22;4;1;6;15;18;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1894000;2.15;2.35;5.1;0;15;0;0;0;22;4;1;6;16;19;0;0;0;0;0;-1;0;0;0;0;0;0;0;
1955000;2;2.18;4.9;0;15;0;0;0;22;4;1;6;17;20;0;0;0;0;0;-1;0;0;0;0;0;0;0;
2016000;1.98;2.17;4.6;0;15;0;0;0;22;4;1;6;18;21;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3241000;1.95;2.09;1.7;0;17;0;0;0;22;4;1;6;38;46;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3302000;1.84;1.99;1.6;0;17;0;0;0;22;4;1;6;39;47;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3363000;1.66;1.79;1.6;0;17;0;0;0;22;4;1;6;40;48;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3425000;1.81;1.94;1.5;0;17;0;0;0;22;4;1;6;41;50;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3486000;1.95;2.08;1.4;0;17;0;0;0;22;4;1;6;42;51;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3547000;1.76;1.88;1.4;0;17;0;0;0;22;4;1;6;43;52;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3608000;2.48;2.63;1.4;0;18;0;0;0;22;4;1;6;44;53;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3669000;2.25;2.37;1.3;0;18;0;0;0;22;4;1;6;45;54;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3730000;1.74;1.86;1.3;0;18;0;0;0;22;4;1;6;46;55;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3791000;1.88;2;1.2;0;18;0;0;0;22;4;1;6;47;56;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3852000;2.16;2.28;1.2;0;18;0;0;0;22;4;1;6;48;57;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3913000;2.12;2.25;1.2;0;18;0;0;0;22;4;1;6;49;58;0;0;0;0;0;-1;0;0;0;0;0;0;0;
3974000;1.66;1.77;1.2;0;18;0;0;0;22;4;1;6;50;59;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4035000;1.96;2.08;1.2;0;18;0;0;0;22;4;1;6;52;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4097000;1.95;2.08;1.1;0;18;0;0;0;22;4;1;6;53;2;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4158000;1.82;1.93;1.1;0;18;0;0;0;22;4;1;6;54;3;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4219000;1.85;1.97;1.1;0;18;0;0;0;22;4;1;6;55;4;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4280000;1.82;1.95;1.1;0;19;0;0;0;22;4;1;6;56;5;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4341000;2.15;2.31;1.1;0;19;0;0;0;22;4;1;6;57;6;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4402000;1.85;1.97;1.1;0;19;0;0;0;22;4;1;6;58;7;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4463000;2.01;2.14;1.1;0;19;0;0;0;22;4;1;6;59;8;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4524000;2.01;2.15;1.1;0;19;0;0;0;22;4;1;7;0;9;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4585000;1.62;1.72;1.1;0;19;0;0;0;22;4;1;7;1;10;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4646000;1.77;1.88;1.1;0;19;0;0;0;22;4;1;7;2;11;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4707000;1.92;2.04;1.1;0;19;0;0;0;22;4;1;7;3;12;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4769000;1.92;2.03;1.1;0;19;0;0;0;22;4;1;7;4;14;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4830000;2.26;2.4;1.2;0;19;0;0;0;22;4;1;7;5;15;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4891000;1.71;1.83;1.2;0;19;0;0;0;22;4;1;7;6;16;0;0;0;0;0;-1;0;0;0;0;0;0;0;
4952000;1.86;1.99;1.2;0;20;0;0;0;22;4;1;7;7;17;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5013000;2.09;2.23;1.2;0;20;0;0;0;22;4;1;7;8;18;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5074000;2.18;2.33;1.3;0;20;0;0;0;22;4;1;7;9;19;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5135000;2.19;2.33;1.3;0;20;0;0;0;22;4;1;7;10;20;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5196000;1.46;1.56;1.3;0;20;0;0;0;22;4;1;7;11;21;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5257000;1.46;1.57;1.4;0;20;0;0;0;22;4;1;7;12;22;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5318000;1.76;1.88;1.4;0;20;0;0;0;22;4;1;7;13;23;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5379000;1.91;2.02;1.5;0;20;0;0;0;22;4;1;7;14;24;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5441000;1.57;1.64;1.6;0;20;0;0;0;22;4;1;7;15;26;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5502000;1.63;1.71;1.6;0;20;0;0;0;22;4;1;7;16;27;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5563000;2.1;2.21;1.7;0;20;0;0;0;22;4;1;7;17;28;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5624000;1.85;1.94;1.7;0;20;0;0;0;22;4;1;7;18;29;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5685000;1.86;1.95;1.8;0;21;0;0;0;22;4;1;7;19;30;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5746000;1.55;1.64;1.9;0;21;0;0;0;22;4;1;7;20;31;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5807000;1.78;1.89;1.9;0;21;0;0;0;22;4;1;7;21;32;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5868000;1.67;1.77;2;0;21;0;0;0;22;4;1;7;22;33;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5929000;1.34;1.42;2.1;0;21;0;0;0;22;4;1;7;23;34;0;0;0;0;0;-1;0;0;0;0;0;0;0;
5990000;1.63;1.74;2.1;0;21;0;0;0;22;4;1;7;24;35;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6051000;1.44;1.54;2.2;0;21;0;0;0;22;4;1;7;25;36;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6113000;1.68;1.78;2.3;0;21;0;0;0;22;4;1;7;26;38;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6174000;1.63;1.74;2.4;0;21;0;0;0;22;4;1;7;27;39;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6235000;0.98;1.05;2.4;0;21;0;0;0;22;4;1;7;28;40;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6296000;1.47;1.56;2.5;0;21;0;0;0;22;4;1;7;29;41;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6357000;1.56;1.65;2.6;0;21;0;0;0;22;4;1;7;30;42;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6418000;1.15;1.22;2.6;0;21;0;0;0;22;4;1;7;31;43;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6479000;1.54;1.63;2.7;0;22;0;0;0;22;4;1;7;32;44;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6540000;1.77;1.88;2.8;0;22;0;0;0;22;4;1;7;33;45;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6601000;1.56;1.65;2.9;0;22;0;0;0;22;4;1;7;34;46;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6662000;1.56;1.63;3;0;22;0;0;0;22;4;1;7;35;47;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6723000;1.48;1.55;3.1;0;22;0;0;0;22;4;1;7;36;48;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6785000;1.69;1.77;3.2;0;22;0;0;0;22;4;1;7;37;50;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6846000;1.71;1.78;3.4;0;22;0;0;0;22;4;1;7;38;51;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6907000;1.51;1.58;3.6;0;22;0;0;0;22;4;1;7;39;52;0;0;0;0;0;-1;0;0;0;0;0;0;0;
6969000;1.66;1.74;3.7;0;22;0;0;0;22;4;1;7;40;54;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7031000;1.55;1.61;3.9;0;22;0;0;0;22;4;1;7;41;56;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7093000;1.71;1.78;4.1;0;22;0;0;0;22;4;1;7;42;58;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7155000;1.42;1.47;4.3;0;22;0;0;0;22;4;1;7;44;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7217000;1.36;1.4;4.5;0;22;0;0;0;22;4;1;7;45;2;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7279000;1.34;1.38;4.7;0;22;0;0;0;22;4;1;7;46;4;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7341000;1.34;1.37;4.9;0;22;0;0;0;22;4;1;7;47;6;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7403000;14.19;14.49;5.1;0;23;0;0;0;22;4;1;7;48;8;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7465000;1.11;1.13;5.4;0;23;0;0;0;22;4;1;7;49;10;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7527000;1.48;1.51;5.6;0;23;0;0;0;22;4;1;7;50;12;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7589000;1.06;1.09;5.8;0;23;0;0;0;22;4;1;7;51;14;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7651000;0.74;0.78;6;0;23;0;0;0;22;4;1;7;52;16;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7713000;0.24;0.25;6.2;0;23;0;0;0;22;4;1;7;53;18;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7775000;0.39;0.41;6.4;0;23;0;0;0;22;4;1;7;54;20;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7837000;0.25;0.26;6.5;0;23;0;0;0;22;4;1;7;55;22;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7899000;0.74;0.78;6.6;0;23;0;0;0;22;4;1;7;56;24;0;0;0;0;0;-1;0;0;0;0;0;0;0;
7961000;0.66;0.68;6.8;0;23;0;0;0;22;4;1;7;57;26;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8023000;0.68;0.7;6.9;0;23;0;0;0;22;4;1;7;58;28;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8085000;0.35;0.37;7.1;0;23;0;0;0;22;4;1;7;59;30;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8147000;0.72;0.75;7.3;0;23;0;0;0;22;4;1;8;0;32;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8209000;0.84;0.87;7.5;0;23;0;0;0;22;4;1;8;1;34;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8271000;0.54;0.57;7.7;0;23;0;0;0;22;4;1;8;2;36;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8333000;0.6;0.62;8;0;23;0;0;0;22;4;1;8;3;38;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8395000;0.97;1.01;8.3;0;23;0;0;0;22;4;1;8;4;40;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8457000;1.1;1.14;8.6;0;23;0;0;0;22;4;1;8;5;42;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8519000;0.85;0.88;8.9;0;24;0;0;0;22;4;1;8;6;44;0;0;0;0;0;-1;0;0;0;0;0;0;0;
8581000;0.72;0.75;9.3;0;24;0;0;0;22;4;1;8;7;46;0;0;0;0;0;-1;0;0;0;0;0;0;0;
