processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
66000,1.60, 6.60,15.92, 10104.50, 12.44, 622.06,400, 0,22,4,1,5,40,34,119763312, 576895424, 0, 1,00606, 00611,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-311.66,
68000,1.60, 7.50,15.88, 10104.50, 12.41, 624.96,418, 2,22,4,1,5,40,35,119763248, 576895488, 0, 1,00607, 00646,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
70000,1.70, 7.70,15.81, 10104.50, 12.36, 630.23,400, 0,22,4,1,5,40,37,119763232, 576895488, 0, 1,00609, 00602,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-311.66,
72000,1.60, 7.80,15.75, 10104.50, 12.33, 636.80,400, 0,22,4,1,5,40,39,119763216, 576895552, 0, 1,00607, 00609,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
74000,1.60, 7.90,15.69, 10103.60, 12.28, 636.20,400, 0,22,4,1,5,40,41,119763128, 576895616, 0, 1,00607, 00612,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-311.66,
76000,1.70, 8.10,15.65, 10104.50, 12.26, 639.84,400, 0,22,4,1,5,40,43,119763048, 576895616, 0, 1,00603, 00576,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
78000,1.50, 6.10,15.60, 10104.50, 12.23, 636.20,400, 0,22,4,1,5,40,45,119763232, 576895552, 0, 1,00603, 00629,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
80000,1.50, 6.10,15.56, 10104.70, 12.22, 641.06,400, 0,22,4,1,5,40,47,119763464, 576895488, 0, 1,00602, 00615,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-316.49,
82000,1.60, 7.50,15.53, 10103.60, 12.20, 644.13,400, 0,22,4,1,5,40,49,119763568, 576895488, 0, 1,00609, 00638,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-308.43,
84000,1.60, 9.00,15.50, 10103.60, 12.17, 654.17,400, 0,22,4,1,5,40,51,119763568, 576895488, 0, 1,00609, 00624,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
86000,1.70, 9.80,15.47, 10104.50, 12.17, 656.72,400, 0,22,4,1,5,40,53,119763528, 576895488, 0, 1,00606, 00609,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-310.85,
88000,1.70, 9.90,15.45, 10104.50, 12.18, 657.37,400, 0,22,4,1,5,40,55,119763616, 576895424, 0, 1,00614, 00666,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-312.46,
90000,1.60, 9.40,15.43, 10104.70, 12.18, 661.90,400, 0,22,4,1,5,40,57,119763600, 576895424, 0, 1,00620, 00643,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-311.66,
92000,1.60, 9.90,15.41, 10104.70, 12.19, 675.88,400, 0,22,4,1,5,40,59,119763568, 576895424, 0, 1,00617, 00624,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-316.49,
94000,1.50, 10.40,15.39, 10104.70, 12.20, 669.15,400, 0,22,4,1,5,41,1,119763360, 576895488, 0, 1,00614, 00611,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
96000,1.50, 9.60,15.37, 10104.50, 12.21, 675.20,400, 0,22,4,1,5,41,3,119763296, 576895552, 0, 1,00612, 00607,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
98000,1.50, 9.20,15.36, 10104.50, 12.23, 677.25,400, 0,22,4,1,5,41,5,119763096, 576895616, 0, 1,00612, 00637,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
100000,1.50, 9.00,15.34, 10103.60, 12.28, 682.06,405, 0,22,4,1,5,41,7,119762928, 576895744, 0, 1,00616, 00644,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
102000,1.70, 10.80,15.32, 10103.40, 12.35, 685.54,400, 0,22,4,1,5,41,9,119762848, 576895808, 0, 1,00616, 00598,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-312.46,
104000,1.70, 11.50,15.31, 10103.40, 12.43, 687.64,400, 0,22,4,1,5,41,11,119762712, 576895872, 0, 1,00619, 00638,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
106000,1.70, 12.80,15.29, 10103.40, 12.49, 691.89,400, 0,22,4,1,5,41,13,119762648, 576895872, 0, 1,00620, 00589,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
108000,1.70, 12.60,15.27, 10103.60, 12.55, 695.47,403, 0,22,4,1,5,41,15,119762680, 576895872, 0, 1,00619, 00606,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
110000,1.80, 15.20,15.26, 10103.60, 12.63, 699.82,400, 0,22,4,1,5,41,17,119762816, 576895872, 0, 1,00617, 00637,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
112000,1.80, 14.40,15.24, 10103.60, 12.71, 703.49,400, 0,22,4,1,5,41,19,119763048, 576895744, 0, 1,00616, 00617,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
114000,1.80, 14.70,15.22, 10103.20, 12.77, 706.44,400, 0,22,4,1,5,41,21,119763032, 576895744, 0, 1,00612, 00621,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-314.08,
116000,1.70, 14.20,15.21, 10103.20, 12.81, 710.93,400, 0,22,4,1,5,41,23,119763016, 576895744, 0, 1,00606, 00597,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-313.27,
118000,1.70, 13.80,15.19, 10103.20, 12.82, 713.19,400, 0,22,4,1,5,41,25,119762984, 576895744, 0, 1,00605, 00593,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-312.46,
