processor_millis;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
0;0.83;0.83;20.5;-1;23;-1;-1;-1;22;4;12;6;34;19;;;;;;-1;;;;;-1;-1;;
91000;0.89;0.89;20.9;-1;23;-1;-1;-1;22;4;12;6;37;21;;;;;;-1;;;;;-1;-1;;
182000;0.64;0.64;21.4;-1;22;-1;-1;-1;22;4;12;6;41;7;;;;;;-1;;;;;-1;-1;;
273000;0.63;0.63;21.9;-1;22;-1;-1;-1;22;4;12;6;44;9;;;;;;-1;;;;;-1;-1;;
364000;0.67;0.69;22.4;-1;21;-1;-1;-1;22;4;12;6;47;11;;;;;;-1;;;;;-1;-1;;
455000;0.86;0.89;22.8;-1;21;-1;-1;-1;22;4;12;6;50;13;;;;;;-1;;;;;-1;-1;;
546000;0.63;0.65;23.2;-1;21;-1;-1;-1;22;4;12;6;54;7;;;;;;-1;;;;;-1;-1;;
637000;1.18;1.22;23.6;-1;20;-1;-1;-1;22;4;12;6;58;2;;;;;;-1;;;;;-1;-1;;
728000;0.51;0.53;24;-1;20;-1;-1;-1;22;4;12;7;1;4;;;;;;-1;;;;;-1;-1;;
819000;0.78;0.81;24.4;-1;20;-1;-1;-1;22;4;12;7;5;6;;;;;;-1;;;;;-1;-1;;
910000;0.78;0.8;24.7;-1;20;-1;-1;-1;22;4;12;7;9;0;;;;;;-1;;;;;-1;-1;;
1001000;0.82;0.84;25;-1;20;-1;-1;-1;22;4;12;7;15;3;;;;;;-1;;;;;-1;-1;;
1092000;0.59;0.61;25.3;-1;20;-1;-1;-1;22;4;12;7;18;6;;;;;;-1;;;;;-1;-1;;
1183000;0.95;0.98;25.6;-1;19;-1;-1;-1;22;4;12;7;21;8;;;;;;-1;;;;;-1;-1;;
1274000;0.86;0.89;25.8;-1;19;-1;-1;-1;22;4;12;7;24;10;;;;;;-1;;;;;-1;-1;;
1365000;0.71;0.73;26;-1;19;-1;-1;-1;22;4;12;7;27;12;;;;;;-1;;;;;-1;-1;;
1456000;0.42;0.43;26.2;-1;19;-1;-1;-1;22;4;12;7;30;14;;;;;;-1;;;;;-1;-1;;
1547000;0.64;0.65;26.3;-1;19;-1;-1;-1;22;4;12;7;33;16;;;;;;-1;;;;;-1;-1;;
1638000;0.92;0.94;26.5;-1;19;-1;-1;-1;22;4;12;7;36;18;;;;;;-1;;;;;-1;-1;;
1729000;0.67;0.69;26.6;-1;19;-1;-1;-1;22;4;12;7;39;20;;;;;;-1;;;;;-1;-1;;
1820000;0.57;0.59;26.7;-1;19;-1;-1;-1;22;4;12;7;42;22;;;;;;-1;;;;;-1;-1;;
1911000;0.67;0.69;26.8;-1;19;-1;-1;-1;22;4;12;7;45;24;;;;;;-1;;;;;-1;-1;;
2002000;0.63;0.65;26.9;-1;19;-1;-1;-1;22;4;12;7;48;26;;;;;;-1;;;;;-1;-1;;
2093000;0.6;0.62;27;-1;19;-1;-1;-1;22;4;12;7;51;28;;;;;;-1;;;;;-1;-1;;
2184000;0.46;0.47;27.1;-1;19;-1;-1;-1;22;4;12;7;54;30;;;;;;-1;;;;;-1;-1;;
2275000;0.41;0.42;27.1;-1;19;-1;-1;-1;22;4;12;7;57;32;;;;;;-1;;;;;-1;-1;;
2366000;0.67;0.69;27.2;-1;19;-1;-1;-1;22;4;12;8;0;34;;;;;;-1;;;;;-1;-1;;
2457000;0.47;0.48;27.2;-1;19;-1;-1;-1;22;4;12;8;3;36;;;;;;-1;;;;;-1;-1;;
2548000;0.67;0.68;27.3;-1;19;-1;-1;-1;22;4;12;8;6;38;;;;;;-1;;;;;-1;-1;;
2639000;0.67;0.69;27.4;-1;19;-1;-1;-1;22;4;12;8;9;40;;;;;;-1;;;;;-1;-1;;
2730000;0.51;0.52;27.4;-1;19;-1;-1;-1;22;4;12;8;12;42;;;;;;-1;;;;;-1;-1;;
2821000;0.68;0.69;27.5;-1;19;-1;-1;-1;22;4;12;8;15;44;;;;;;-1;;;;;-1;-1;;
2912000;0.59;0.6;27.5;-1;19;-1;-1;-1;22;4;12;8;18;46;;;;;;-1;;;;;-1;-1;;
3003000;0.35;0.36;27.5;-1;19;-1;-1;-1;22;4;12;8;21;48;;;;;;-1;;;;;-1;-1;;
3094000;0.4;0.4;27.6;-1;20;-1;-1;-1;22;4;12;8;24;50;;;;;;-1;;;;;-1;-1;;
3185000;0.49;0.5;27.6;-1;19;-1;-1;-1;22;4;12;8;27;52;;;;;;-1;;;;;-1;-1;;
3276000;0.59;0.6;27.7;-1;19;-1;-1;-1;22;4;12;8;30;54;;;;;;-1;;;;;-1;-1;;
3367000;0.47;0.47;27.7;-1;19;-1;-1;-1;22;4;12;8;33;56;;;;;;-1;;;;;-1;-1;;
3458000;0.43;0.44;27.8;-1;19;-1;-1;-1;22;4;12;8;36;58;;;;;;-1;;;;;-1;-1;;
3549000;0.43;0.44;27.8;-1;19;-1;-1;-1;22;4;12;8;40;0;;;;;;-1;;;;;-1;-1;;
3640000;0.54;0.55;27.8;-1;19;-1;-1;-1;22;4;12;8;43;2;;;;;;-1;;;;;-1;-1;;
3731000;0.54;0.55;27.8;-1;19;-1;-1;-1;22;4;12;8;46;4;;;;;;-1;;;;;-1;-1;;
3822000;0.46;0.46;27.9;-1;19;-1;-1;-1;22;4;12;8;49;6;;;;;;-1;;;;;-1;-1;;
3913000;0.36;0.37;27.9;-1;19;-1;-1;-1;22;4;12;8;52;8;;;;;;-1;;;;;-1;-1;;
4004000;0.5;0.51;27.9;-1;19;-1;-1;-1;22;4;12;8;55;10;;;;;;-1;;;;;-1;-1;;
4095000;0.71;0.72;28;-1;19;-1;-1;-1;22;4;12;8;58;12;;;;;;-1;;;;;-1;-1;;
4186000;0.42;0.44;28;-1;19;-1;-1;-1;22;4;12;9;1;14;;;;;;-1;;;;;-1;-1;;
4277000;0.46;0.47;28;-1;19;-1;-1;-1;22;4;12;9;4;16;;;;;;-1;;;;;-1;-1;;
4368000;0.41;0.42;28.1;-1;19;-1;-1;-1;22;4;12;9;7;18;;;;;;-1;;;;;-1;-1;;
4459000;0.35;0.36;28.1;-1;19;-1;-1;-1;22;4;12;9;8;36;;;;;;-1;;;;;-1;-1;;
4550000;0.38;0.38;28.1;-1;19;-1;-1;-1;22;4;12;9;9;42;;;;;;-1;;;;;-1;-1;;
4641000;0.47;0.48;28.1;-1;19;-1;-1;-1;22;4;12;9;12;44;;;;;;-1;;;;;-1;-1;;
4732000;0.5;0.51;28.2;-1;19;-1;-1;-1;22;4;12;9;15;46;;;;;;-1;;;;;-1;-1;;
4823000;0.51;0.52;28.2;-1;19;-1;-1;-1;22;4;12;9;18;48;;;;;;-1;;;;;-1;-1;;
4914000;0.52;0.53;28.2;-1;19;-1;-1;-1;22;4;12;9;21;50;;;;;;-1;;;;;-1;-1;;
5005000;0.46;0.47;28.3;-1;19;-1;-1;-1;22;4;12;9;38;30;;;;;;-1;;;;;-1;-1;;
5096000;0.51;0.53;28.4;-1;19;-1;-1;-1;22;4;12;9;39;32;;;;;;-1;;;;;-1;-1;;
5187000;0.38;0.39;28.4;-1;19;-1;-1;-1;22;4;12;9;40;34;;;;;;-1;;;;;-1;-1;;
5278000;0.65;0.67;28.4;-1;19;-1;-1;-1;22;4;12;9;41;36;;;;;;-1;;;;;-1;-1;;
5369000;0.65;0.66;28.4;-1;19;-1;-1;-1;22;4;12;9;42;38;;;;;;-1;;;;;-1;-1;;
5460000;0.82;0.84;28.4;-1;19;-1;-1;-1;22;4;12;9;43;40;;;;;;-1;;;;;-1;-1;;
5551000;0.52;0.54;28.4;-1;19;-1;-1;-1;22;4;12;9;44;46;;;;;;-1;;;;;-1;-1;;
5642000;0.45;0.46;28.4;-1;19;-1;-1;-1;22;4;12;9;47;48;;;;;;-1;;;;;-1;-1;;
5733000;0.36;0.37;28.4;-1;19;-1;-1;-1;22;4;12;9;50;50;;;;;;-1;;;;;-1;-1;;
5824000;0.59;0.61;28.4;-1;19;-1;-1;-1;22;4;12;9;53;52;;;;;;-1;;;;;-1;-1;;
5915000;0.36;0.38;28.4;-1;19;-1;-1;-1;22;4;12;9;56;54;;;;;;-1;;;;;-1;-1;;
6006000;0.25;0.26;28.5;-1;18;-1;-1;-1;22;4;12;10;47;45;;;;;;-1;;;;;-1;-1;;
6097000;0.45;0.47;28.5;-1;17;-1;-1;-1;22;4;12;10;50;47;;;;;;-1;;;;;-1;-1;;
6188000;0.3;0.31;28.5;-1;17;-1;-1;-1;22;4;12;10;53;49;;;;;;-1;;;;;-1;-1;;
6279000;0.47;0.49;28.5;-1;17;-1;-1;-1;22;4;12;10;56;51;;;;;;-1;;;;;-1;-1;;
6370000;0.33;0.34;28.5;-1;17;-1;-1;-1;22;4;12;10;59;53;;;;;;-1;;;;;-1;-1;;
6461000;0.48;0.49;28.5;-1;17;-1;-1;-1;22;4;12;11;2;55;;;;;;-1;;;;;-1;-1;;
6552000;0.33;0.34;28.5;-1;17;-1;-1;-1;22;4;12;11;5;57;;;;;;-1;;;;;-1;-1;;
6643000;0.47;0.48;28.5;-1;17;-1;-1;-1;22;4;12;11;8;59;;;;;;-1;;;;;-1;-1;;
6734000;0.41;0.42;28.5;-1;17;-1;-1;-1;22;4;12;11;12;1;;;;;;-1;;;;;-1;-1;;
6825000;0.51;0.52;28.5;-1;17;-1;-1;-1;22;4;12;11;15;3;;;;;;-1;;;;;-1;-1;;
6916000;0.49;0.49;28.5;-1;17;-1;-1;-1;22;4;12;11;18;5;;;;;;-1;;;;;-1;-1;;
7007000;0.47;0.48;28.5;-1;17;-1;-1;-1;22;4;12;11;21;7;;;;;;-1;;;;;-1;-1;;
7098000;0.95;0.98;28.5;-1;17;-1;-1;-1;22;4;12;11;24;9;;;;;;-1;;;;;-1;-1;;
7189000;0.25;0.26;28.5;-1;20;-1;-1;-1;22;4;12;11;27;11;;;;;;-1;;;;;-1;-1;;
7280000;0.98;1.05;28.5;-1;18;-1;-1;-1;22;4;12;11;28;35;;;;;;-1;;;;;-1;-1;;
7371000;0.18;0.2;28.5;-1;17;-1;-1;-1;22;4;12;11;29;36;;;;;;-1;;;;;-1;-1;;
7462000;0.21;0.23;28.5;-1;16;-1;-1;-1;22;4;12;11;30;38;;;;;;-1;;;;;-1;-1;;
7553000;0.22;0.24;28.4;-1;16;-1;-1;-1;22;4;12;11;31;39;;;;;;-1;;;;;-1;-1;;
7644000;0.11;0.12;28.4;-1;16;-1;-1;-1;22;4;12;11;32;40;;;;;;-1;;;;;-1;-1;;
7735000;0.09;0.09;28.4;-1;17;-1;-1;-1;22;4;12;11;33;41;;;;;;-1;;;;;-1;-1;;
7826000;0.31;0.34;28.3;-1;17;-1;-1;-1;22;4;12;11;34;42;;;;;;-1;;;;;-1;-1;;
7917000;0.14;0.15;28.3;-1;17;-1;-1;-1;22;4;12;11;35;43;;;;;;-1;;;;;-1;-1;;
8008000;0.16;0.17;28.3;-1;17;-1;-1;-1;22;4;12;11;36;44;;;;;;-1;;;;;-1;-1;;
8099000;0.7;0.76;28.2;-1;17;-1;-1;-1;22;4;12;11;37;45;;;;;;-1;;;;;-1;-1;;
8190000;0.8;0.9;28.2;-1;18;-1;-1;-1;22;4;12;11;38;46;;;;;;-1;;;;;-1;-1;;
8281000;0.86;0.98;28.2;-1;17;-1;-1;-1;22;4;12;11;39;47;;;;;;-1;;;;;-1;-1;;
8372000;0.92;1.07;28.1;-1;18;-1;-1;-1;22;4;12;11;42;11;;;;;;-1;;;;;-1;-1;;
8463000;1.06;1.24;28.1;-1;17;-1;-1;-1;22;4;12;11;43;13;;;;;;-1;;;;;-1;-1;;
8554000;0.49;0.58;28;-1;17;-1;-1;-1;22;4;12;11;44;14;;;;;;-1;;;;;-1;-1;;
8645000;0.54;0.63;28;-1;17;-1;-1;-1;22;4;12;11;45;15;;;;;;-1;;;;;-1;-1;;
8736000;0.36;0.43;28;-1;18;-1;-1;-1;22;4;12;11;46;16;;;;;;-1;;;;;-1;-1;;
8827000;0.5;0.59;27.9;-1;18;-1;-1;-1;22;4;12;11;47;17;;;;;;-1;;;;;-1;-1;;
8918000;0.47;0.55;27.9;-1;17;-1;-1;-1;22;4;12;11;48;18;;;;;;-1;;;;;-1;-1;;
9009000;0.42;0.5;27.9;-1;18;-1;-1;-1;22;4;12;11;49;19;;;;;;-1;;;;;-1;-1;;
9100000;0.32;0.38;27.8;-1;18;-1;-1;-1;22;4;12;11;50;20;;;;;;-1;;;;;-1;-1;;
9191000;0.24;0.27;27.8;-1;18;-1;-1;-1;22;4;12;11;51;21;;;;;;-1;;;;;-1;-1;;
9282000;0.07;0.08;27.8;-1;18;-1;-1;-1;22;4;12;11;52;22;;;;;;-1;;;;;-1;-1;;
9373000;0.19;0.22;27.8;-1;18;-1;-1;-1;22;4;12;11;53;23;;;;;;-1;;;;;-1;-1;;
9464000;0.09;0.1;27.7;-1;19;-1;-1;-1;22;4;12;11;54;25;;;;;;-1;;;;;-1;-1;;
9555000;0.2;0.23;27.7;-1;19;-1;-1;-1;22;4;12;11;55;26;;;;;;-1;;;;;-1;-1;;
9646000;0.38;0.44;27.7;-1;19;-1;-1;-1;22;4;12;11;56;27;;;;;;-1;;;;;-1;-1;;
9737000;0.27;0.32;27.7;-1;17;-1;-1;-1;22;4;12;11;57;28;;;;;;-1;;;;;-1;-1;;
9828000;1.57;1.85;27.7;-1;17;-1;-1;-1;22;4;12;11;58;29;;;;;;-1;;;;;-1;-1;;
9919000;0.69;0.82;27.7;-1;17;-1;-1;-1;22;4;12;11;59;30;;;;;;-1;;;;;-1;-1;;
10010000;0.54;0.65;27.6;-1;18;-1;-1;-1;22;4;12;12;0;31;;;;;;-1;;;;;-1;-1;;
10101000;0.98;1.17;27.6;-1;17;-1;-1;-1;22;4;12;12;1;32;;;;;;-1;;;;;-1;-1;;
10192000;1.63;1.96;27.6;-1;17;-1;-1;-1;22;4;12;12;2;33;;;;;;-1;;;;;-1;-1;;
10283000;0.98;1.19;27.5;-1;16;-1;-1;-1;22;4;12;12;3;34;;;;;;-1;;;;;-1;-1;;
10374000;1.71;2.06;27.4;-1;16;-1;-1;-1;22;4;12;12;4;35;;;;;;-1;;;;;-1;-1;;
10465000;1.12;1.36;27.3;-1;16;-1;-1;-1;22;4;12;12;5;37;;;;;;-1;;;;;-1;-1;;
10556000;2.11;2.54;27.2;-1;16;-1;-1;-1;22;4;12;12;6;38;;;;;;-1;;;;;-1;-1;;
10647000;1.51;1.81;27;-1;16;-1;-1;-1;22;4;12;12;7;39;;;;;;-1;;;;;-1;-1;;
10738000;1.92;2.31;26.8;-1;16;-1;-1;-1;22;4;12;12;8;40;;;;;;-1;;;;;-1;-1;;
10829000;1.88;2.27;26.5;-1;16;-1;-1;-1;22;4;12;12;9;41;;;;;;-1;;;;;-1;-1;;
10920000;1.76;2.14;26.2;-1;16;-1;-1;-1;22;4;12;12;10;42;;;;;;-1;;;;;-1;-1;;
11011000;2.07;2.51;25.8;-1;17;-1;-1;-1;22;4;12;12;11;43;;;;;;-1;;;;;-1;-1;;
11102000;3.04;3.84;25.4;-1;17;-1;-1;-1;22;4;12;12;12;44;;;;;;-1;;;;;-1;-1;;
11193000;1.73;2.24;25;-1;17;-1;-1;-1;22;4;12;12;13;45;;;;;;-1;;;;;-1;-1;;
11284000;1.94;2.52;24.6;-1;18;-1;-1;-1;22;4;12;12;14;46;;;;;;-1;;;;;-1;-1;;
11375000;2.22;2.88;24.2;-1;18;-1;-1;-1;22;4;12;12;15;47;;;;;;-1;;;;;-1;-1;;
11466000;2.03;2.6;23.8;-1;18;-1;-1;-1;22;4;12;12;16;49;;;;;;-1;;;;;-1;-1;;
11557000;1.53;1.95;23.4;-1;19;-1;-1;-1;22;4;12;12;17;50;;;;;;-1;;;;;-1;-1;;
11648000;1.66;2.08;23.1;-1;19;-1;-1;-1;22;4;12;12;18;51;;;;;;-1;;;;;-1;-1;;
11739000;2.06;2.62;22.7;-1;19;-1;-1;-1;22;4;12;12;19;52;;;;;;-1;;;;;-1;-1;;
11830000;1.99;2.47;22.4;-1;19;-1;-1;-1;22;4;12;12;20;53;;;;;;-1;;;;;-1;-1;;
11921000;1.81;2.2;22.1;-1;19;-1;-1;-1;22;4;12;12;21;54;;;;;;-1;;;;;-1;-1;;
12012000;1.77;2.14;21.7;-1;20;-1;-1;-1;22;4;12;12;22;55;;;;;;-1;;;;;-1;-1;;
12103000;1.78;2.15;21.4;-1;20;-1;-1;-1;22;4;12;12;23;56;;;;;;-1;;;;;-1;-1;;
12194000;1.95;2.33;21.1;-1;20;-1;-1;-1;22;4;12;12;24;57;;;;;;-1;;;;;-1;-1;;
12285000;2.15;2.53;20.9;-1;20;-1;-1;-1;22;4;12;12;25;58;;;;;;-1;;;;;-1;-1;;
12376000;2.22;2.61;20.6;-1;20;-1;-1;-1;22;4;12;12;26;59;;;;;;-1;;;;;-1;-1;;
12467000;1.81;2.11;18.2;-1;21;-1;-1;-1;22;4;12;12;39;13;;;;;;-1;;;;;-1;-1;;
12558000;1.72;2.04;18.1;-1;21;-1;-1;-1;22;4;12;12;40;14;;;;;;-1;;;;;-1;-1;;
12649000;1.45;1.73;17.9;-1;22;-1;-1;-1;22;4;12;12;41;15;;;;;;-1;;;;;-1;-1;;
12740000;1.89;2.26;17.8;-1;22;-1;-1;-1;22;4;12;12;42;16;;;;;;-1;;;;;-1;-1;;
