processor_millis;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
0;0.71;0.73;24.3;-1;25;-1;-1;-1;22;4;12;6;56;33;;;;;;-1;;;;;-1;-1;;
182000;0.69;0.7;24.8;-1;25;-1;-1;-1;22;4;12;6;59;35;;;;;;-1;;;;;-1;-1;;
364000;0.65;0.66;25.1;-1;24;-1;-1;-1;22;4;12;7;2;37;;;;;;-1;;;;;-1;-1;;
546000;0.52;0.53;25.5;-1;24;-1;-1;-1;22;4;12;7;5;39;;;;;;-1;;;;;-1;-1;;
754000;0.73;0.74;25.8;-1;24;-1;-1;-1;22;4;12;7;9;7;;;;;;-1;;;;;-1;-1;;
994000;0.53;0.54;26.1;-1;24;-1;-1;-1;22;4;12;7;13;7;;;;;;-1;;;;;-1;-1;;
1176000;0.78;0.79;26.4;-1;24;-1;-1;-1;22;4;12;7;16;9;;;;;;-1;;;;;-1;-1;;
1408000;0.55;0.56;26.7;-1;24;-1;-1;-1;22;4;12;7;20;1;;;;;;-1;;;;;-1;-1;;
1594000;0.71;0.72;26.9;-1;23;-1;-1;-1;22;4;12;7;23;7;;;;;;-1;;;;;-1;-1;;
2140000;0.62;0.63;27.5;-1;23;-1;-1;-1;22;4;12;7;32;13;;;;;;-1;;;;;-1;-1;;
2322000;0.53;0.54;27.7;-1;23;-1;-1;-1;22;4;12;7;35;15;;;;;;-1;;;;;-1;-1;;
2504000;0.42;0.43;27.8;-1;23;-1;-1;-1;22;4;12;7;38;17;;;;;;-1;;;;;-1;-1;;
2686000;0.53;0.54;27.9;-1;22;-1;-1;-1;22;4;12;7;41;19;;;;;;-1;;;;;-1;-1;;
2868000;0.56;0.57;28;-1;22;-1;-1;-1;22;4;12;7;44;21;;;;;;-1;;;;;-1;-1;;
3050000;0.32;0.32;28.1;-1;22;-1;-1;-1;22;4;12;7;47;23;;;;;;-1;;;;;-1;-1;;
3232000;0.64;0.65;28.2;-1;22;-1;-1;-1;22;4;12;7;50;25;;;;;;-1;;;;;-1;-1;;
3414000;0.42;0.43;28.3;-1;22;-1;-1;-1;22;4;12;7;53;27;;;;;;-1;;;;;-1;-1;;
3596000;0.28;0.29;28.3;-1;22;-1;-1;-1;22;4;12;7;56;29;;;;;;-1;;;;;-1;-1;;
3778000;0.43;0.44;28.4;-1;22;-1;-1;-1;22;4;12;7;59;31;;;;;;-1;;;;;-1;-1;;
3960000;0.48;0.49;28.4;-1;22;-1;-1;-1;22;4;12;8;2;33;;;;;;-1;;;;;-1;-1;;
4142000;0.51;0.52;28.5;-1;21;-1;-1;-1;22;4;12;8;5;35;;;;;;-1;;;;;-1;-1;;
4324000;0.7;0.71;28.5;-1;21;-1;-1;-1;22;4;12;8;8;37;;;;;;-1;;;;;-1;-1;;
4506000;0.42;0.42;28.6;-1;21;-1;-1;-1;22;4;12;8;11;39;;;;;;-1;;;;;-1;-1;;
4688000;0.5;0.5;28.6;-1;21;-1;-1;-1;22;4;12;8;14;41;;;;;;-1;;;;;-1;-1;;
4870000;0.44;0.45;28.6;-1;21;-1;-1;-1;22;4;12;8;17;43;;;;;;-1;;;;;-1;-1;;
5052000;0.5;0.51;28.6;-1;21;-1;-1;-1;22;4;12;8;20;45;;;;;;-1;;;;;-1;-1;;
5234000;0.58;0.58;28.7;-1;21;-1;-1;-1;22;4;12;8;23;47;;;;;;-1;;;;;-1;-1;;
5416000;0.48;0.48;28.7;-1;21;-1;-1;-1;22;4;12;8;26;49;;;;;;-1;;;;;-1;-1;;
5598000;0.55;0.56;28.7;-1;21;-1;-1;-1;22;4;12;8;29;51;;;;;;-1;;;;;-1;-1;;
5780000;0.56;0.57;28.7;-1;21;-1;-1;-1;22;4;12;8;32;53;;;;;;-1;;;;;-1;-1;;
5962000;0.56;0.57;28.7;-1;21;-1;-1;-1;22;4;12;8;35;55;;;;;;-1;;;;;-1;-1;;
6548000;0.34;0.34;29;-1;19;-1;-1;-1;22;4;12;9;45;41;;;;;;-1;;;;;-1;-1;;
6730000;0.24;0.24;29;-1;19;-1;-1;-1;22;4;12;9;48;43;;;;;;-1;;;;;-1;-1;;
6912000;0.24;0.24;29;-1;19;-1;-1;-1;22;4;12;9;51;45;;;;;;-1;;;;;-1;-1;;
7094000;0.59;0.59;29;-1;19;-1;-1;-1;22;4;12;9;54;47;;;;;;-1;;;;;-1;-1;;
7276000;0.27;0.27;29;-1;19;-1;-1;-1;22;4;12;9;57;49;;;;;;-1;;;;;-1;-1;;
7458000;0.38;0.38;29.1;-1;19;-1;-1;-1;22;4;12;10;0;51;;;;;;-1;;;;;-1;-1;;
7640000;0.29;0.3;29.1;-1;19;-1;-1;-1;22;4;12;10;3;53;;;;;;-1;;;;;-1;-1;;
7822000;0.47;0.48;29.1;-1;19;-1;-1;-1;22;4;12;10;6;55;;;;;;-1;;;;;-1;-1;;
8004000;0.34;0.35;29.1;-1;19;-1;-1;-1;22;4;12;10;9;57;;;;;;-1;;;;;-1;-1;;
8186000;0.37;0.37;29.1;-1;19;-1;-1;-1;22;4;12;10;12;59;;;;;;-1;;;;;-1;-1;;
8368000;0.35;0.35;29.1;-1;19;-1;-1;-1;22;4;12;10;16;1;;;;;;-1;;;;;-1;-1;;
8550000;0.47;0.47;29.1;-1;19;-1;-1;-1;22;4;12;10;19;3;;;;;;-1;;;;;-1;-1;;
8732000;0.22;0.22;29.1;-1;19;-1;-1;-1;22;4;12;10;22;5;;;;;;-1;;;;;-1;-1;;
8914000;0.36;0.37;29.1;-1;19;-1;-1;-1;22;4;12;10;25;7;;;;;;-1;;;;;-1;-1;;
9096000;0.33;0.34;29.1;-1;19;-1;-1;-1;22;4;12;10;28;9;;;;;;-1;;;;;-1;-1;;
9278000;0.36;0.37;29.2;-1;19;-1;-1;-1;22;4;12;10;31;11;;;;;;-1;;;;;-1;-1;;
9460000;0.5;0.51;29.2;-1;19;-1;-1;-1;22;4;12;10;34;13;;;;;;-1;;;;;-1;-1;;
9642000;0.25;0.26;29.1;-1;19;-1;-1;-1;22;4;12;10;37;15;;;;;;-1;;;;;-1;-1;;
9824000;0.29;0.3;29.1;-1;19;-1;-1;-1;22;4;12;10;40;17;;;;;;-1;;;;;-1;-1;;
10006000;0.26;0.26;29.1;-1;19;-1;-1;-1;22;4;12;10;43;19;;;;;;-1;;;;;-1;-1;;
10188000;0.65;0.67;29.1;-1;19;-1;-1;-1;22;4;12;10;46;21;;;;;;-1;;;;;-1;-1;;
10370000;0.26;0.27;29.1;-1;18;-1;-1;-1;22;4;12;10;49;23;;;;;;-1;;;;;-1;-1;;
10552000;0.46;0.47;29.1;-1;18;-1;-1;-1;22;4;12;10;52;25;;;;;;-1;;;;;-1;-1;;
10734000;0.23;0.24;29.1;-1;18;-1;-1;-1;22;4;12;10;55;27;;;;;;-1;;;;;-1;-1;;
10916000;0.39;0.4;29.1;-1;18;-1;-1;-1;22;4;12;10;58;29;;;;;;-1;;;;;-1;-1;;
11098000;0.3;0.31;29.1;-1;18;-1;-1;-1;22;4;12;11;1;31;;;;;;-1;;;;;-1;-1;;
11280000;0.38;0.39;29.1;-1;18;-1;-1;-1;22;4;12;11;4;33;;;;;;-1;;;;;-1;-1;;
11462000;0.36;0.37;29.1;-1;18;-1;-1;-1;22;4;12;11;7;35;;;;;;-1;;;;;-1;-1;;
11644000;0.47;0.48;29.1;-1;18;-1;-1;-1;22;4;12;11;10;37;;;;;;-1;;;;;-1;-1;;
11826000;0.32;0.33;29.1;-1;18;-1;-1;-1;22;4;12;11;13;39;;;;;;-1;;;;;-1;-1;;
12008000;0.24;0.25;29.2;-1;18;-1;-1;-1;22;4;12;11;16;41;;;;;;-1;;;;;-1;-1;;
12190000;0.25;0.26;29.2;-1;18;-1;-1;-1;22;4;12;11;19;43;;;;;;-1;;;;;-1;-1;;
12372000;0.64;0.66;29.2;-1;18;-1;-1;-1;22;4;12;11;22;45;;;;;;-1;;;;;-1;-1;;
12554000;0.24;0.25;29.2;-1;18;-1;-1;-1;22;4;12;11;25;47;;;;;;-1;;;;;-1;-1;;
12736000;0.25;0.26;29.2;-1;18;-1;-1;-1;22;4;12;11;28;49;;;;;;-1;;;;;-1;-1;;
12798000;0.31;0.32;29.2;-1;18;-1;-1;-1;22;4;12;11;29;51;;;;;;-1;;;;;-1;-1;;
12860000;0.19;0.2;29.2;-1;18;-1;-1;-1;22;4;12;11;30;53;;;;;;-1;;;;;-1;-1;;
12922000;0.07;0.08;29.1;-1;18;-1;-1;-1;22;4;12;11;31;55;;;;;;-1;;;;;-1;-1;;
12984000;0.14;0.14;29;-1;18;-1;-1;-1;22;4;12;11;32;57;;;;;;-1;;;;;-1;-1;;
13356000;3.76;4.33;28.6;-1;18;-1;-1;-1;22;4;12;11;39;9;;;;;;-1;;;;;-1;-1;;
13538000;4.41;5.48;28.5;-1;18;-1;-1;-1;22;4;12;11;42;11;;;;;;-1;;;;;-1;-1;;
13600000;0.72;0.92;28.4;-1;18;-1;-1;-1;22;4;12;11;43;13;;;;;;-1;;;;;-1;-1;;
13662000;0.29;0.37;28.4;-1;18;-1;-1;-1;22;4;12;11;44;15;;;;;;-1;;;;;-1;-1;;
13724000;0.32;0.4;28.3;-1;18;-1;-1;-1;22;4;12;11;45;17;;;;;;-1;;;;;-1;-1;;
13786000;0.22;0.28;28.3;-1;18;-1;-1;-1;22;4;12;11;46;19;;;;;;-1;;;;;-1;-1;;
13848000;0.23;0.28;28.2;-1;18;-1;-1;-1;22;4;12;11;47;21;;;;;;-1;;;;;-1;-1;;
13910000;0.17;0.21;28.2;-1;18;-1;-1;-1;22;4;12;11;48;23;;;;;;-1;;;;;-1;-1;;
13972000;0.26;0.32;28.1;-1;18;-1;-1;-1;22;4;12;11;49;25;;;;;;-1;;;;;-1;-1;;
14034000;0.23;0.28;28.1;-1;18;-1;-1;-1;22;4;12;11;50;27;;;;;;-1;;;;;-1;-1;;
14096000;0.09;0.11;28;-1;18;-1;-1;-1;22;4;12;11;51;29;;;;;;-1;;;;;-1;-1;;
14158000;0.09;0.12;28;-1;18;-1;-1;-1;22;4;12;11;52;31;;;;;;-1;;;;;-1;-1;;
14220000;0.82;1.01;28;-1;18;-1;-1;-1;22;4;12;11;53;33;;;;;;-1;;;;;-1;-1;;
14282000;0.31;0.38;27.9;-1;18;-1;-1;-1;22;4;12;11;54;35;;;;;;-1;;;;;-1;-1;;
14344000;0.6;0.75;27.9;-1;18;-1;-1;-1;22;4;12;11;55;37;;;;;;-1;;;;;-1;-1;;
14406000;0.17;0.21;27.9;-1;18;-1;-1;-1;22;4;12;11;56;39;;;;;;-1;;;;;-1;-1;;
14468000;0.37;0.46;27.9;-1;18;-1;-1;-1;22;4;12;11;57;41;;;;;;-1;;;;;-1;-1;;
14530000;2.22;2.95;27.9;-1;18;-1;-1;-1;22;4;12;11;58;43;;;;;;-1;;;;;-1;-1;;
14592000;1.06;1.47;27.9;-1;18;-1;-1;-1;22;4;12;11;59;45;;;;;;-1;;;;;-1;-1;;
14654000;0.41;0.56;27.8;-1;18;-1;-1;-1;22;4;12;12;0;47;;;;;;-1;;;;;-1;-1;;
14716000;0.54;0.74;27.8;-1;18;-1;-1;-1;22;4;12;12;1;49;;;;;;-1;;;;;-1;-1;;
14778000;0.25;0.35;27.8;-1;18;-1;-1;-1;22;4;12;12;2;51;;;;;;-1;;;;;-1;-1;;
14840000;0.08;0.11;27.8;-1;18;-1;-1;-1;22;4;12;12;3;53;;;;;;-1;;;;;-1;-1;;
14902000;0.11;0.15;27.8;-1;18;-1;-1;-1;22;4;12;12;4;55;;;;;;-1;;;;;-1;-1;;
14964000;0.1;0.13;27.8;-1;18;-1;-1;-1;22;4;12;12;5;57;;;;;;-1;;;;;-1;-1;;
15026000;0.06;0.09;27.7;-1;18;-1;-1;-1;22;4;12;12;6;59;;;;;;-1;;;;;-1;-1;;
15088000;0.08;0.1;27.7;-1;18;-1;-1;-1;22;4;12;12;8;1;;;;;;-1;;;;;-1;-1;;
15150000;0.08;0.1;27.6;-1;18;-1;-1;-1;22;4;12;12;9;3;;;;;;-1;;;;;-1;-1;;
15212000;5;7.02;27.6;-1;18;-1;-1;-1;22;4;12;12;10;5;;;;;;-1;;;;;-1;-1;;
15274000;1.38;1.99;27.5;-1;18;-1;-1;-1;22;4;12;12;11;7;;;;;;-1;;;;;-1;-1;;
15336000;1.11;1.6;27.5;-1;18;-1;-1;-1;22;4;12;12;12;9;;;;;;-1;;;;;-1;-1;;
15398000;0.68;0.98;27.4;-1;18;-1;-1;-1;22;4;12;12;13;11;;;;;;-1;;;;;-1;-1;;
15460000;0.57;0.82;27.3;-1;18;-1;-1;-1;22;4;12;12;14;13;;;;;;-1;;;;;-1;-1;;
15523000;5.17;7.57;27.2;-1;18;-1;-1;-1;22;4;12;12;15;16;;;;;;-1;;;;;-1;-1;;
15585000;0.81;1.19;27.1;-1;18;-1;-1;-1;22;4;12;12;16;18;;;;;;-1;;;;;-1;-1;;
15647000;0.3;0.44;27;-1;18;-1;-1;-1;22;4;12;12;17;20;;;;;;-1;;;;;-1;-1;;
