processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
36000,0,0,0, 0, 0, 0,400, 0,22,4,12,12,7,0,119632552, 577000000, 7, 1,00534, 00550,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.80, SDS011 BME680
38000,2.40, 14.70,0, 0, 0, 0,400, 0,22,4,12,12,7,3,119631784, 576999936, 7, 1,00537, 00568,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-333.42, BME680
40000,2.30, 13.30,0, 0, 0, 0,402, 0,22,4,12,12,7,5,119631432, 576999872, 7, 1,00537, 00568,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-333.42, BME680
42000,2.30, 13.80,0, 0, 0, 0,409, 1,22,4,12,12,7,7,119631032, 576999808, 7, 1,00533, 00515,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-333.42, BME680
44000,2.20, 13.90,0, 0, 0, 0,409, 1,22,4,12,12,7,9,119630400, 576999744, 7, 1,00537, 00568,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.80, BME680
46000,1.90, 10.80,0, 0, 0, 0,411, 1,22,4,12,12,7,11,119629832, 576999808, 7, 1,00533, 00491,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.80, BME680
48000,1.80, 9.80,0, 0, 0, 0,411, 1,22,4,12,12,7,13,119629264, 576999744, 7, 1,00536, 00550,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.00, BME680
50000,1.70, 9.40,0, 0, 0, 0,411, 1,22,4,12,12,7,15,119628880, 576999680, 7, 1,00530, 00533,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.00, BME680
52000,1.80, 10.10,0, 0, 0, 0,415, 2,22,4,12,12,7,17,119628480, 576999552, 7, 1,00538, 00515,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.00, BME680
54000,1.80, 10.50,0, 0, 0, 0,415, 2,22,4,12,12,7,19,119628096, 576999360, 7, 1,00539, 00519,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-330.19, BME680
56000,1.90, 11.10,0, 0, 0, 0,411, 1,22,4,12,12,7,21,119627864, 576999232, 7, 1,00533, 00575,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.80, BME680
58000,1.90, 11.30,0, 0, 0, 0,409, 1,22,4,12,12,7,23,119627816, 576999168, 7, 1,00530, 00503,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.00, BME680
60000,1.90, 11.10,0, 0, 0, 0,402, 0,22,4,12,12,7,25,119627800, 576999104, 7, 1,00525, 00517,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.00, BME680
62000,1.90, 10.60,0, 0, 0, 0,409, 1,22,4,12,12,7,27,119627680, 576999040, 7, 1,00517, 00489,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-333.42, BME680
64000,1.90, 10.60,0, 0, 0, 0,409, 1,22,4,12,12,7,29,119627536, 576998976, 7, 1,00515, 00509,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-332.61, BME680
66000,1.90, 10.10,0, 0, 0, 0,402, 0,22,4,12,12,7,31,119627400, 576998848, 7, 1,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-332.61, BME680 CozIR
68000,1.80, 10.00,0, 0, 0, 0,402, 0,22,4,12,12,7,33,119627536, 576998720, 7, 1,00517, 00564,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-331.80, BME680
70000,1.70, 8.60,0, 0, 0, 0,400, 0,22,4,12,12,7,35,119627752, 576998592, 7, 1,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-332.61, BME680 CozIR
72000,1.70, 7.50,0, 0, 0, 0,400, 0,22,4,12,12,7,37,119627832, 576998656, 7, 1,00524, 00483,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-330.19, BME680
74000,1.70, 7.50,0, 0, 0, 0,400, 0,22,4,12,12,7,39,119627984, 576998656, 7, 1,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-330.19, BME680 CozIR
76000,1.70, 7.20,0, 0, 0, 0,400, 0,22,4,12,12,7,41,119628048, 576998592, 7, 1,00516, 00479,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-329.39, BME680
