processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3164; 0.30; 0.60; 18.78; 10262.80; 31.35; 0.00;0;0;22;3;10;15;0;12;0;0;0;0;794;794; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
5165; 0.60; 1.30; 18.80; 10262.80; 31.35; 68.61;0;0;22;3;10;15;0;13;0;0;0;0;773;781; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
7165; 0.60; 1.00; 18.82; 10262.80; 31.29; 69.57;400;0;22;3;10;15;0;15;0;0;0;0;776;795; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
9165; 0.60; 0.90; 18.83; 10262.80; 31.23; 72.52;400;0;22;3;10;15;0;17;0;0;0;0;774;750; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
11165; 0.60; 0.80; 18.85; 10262.80; 31.18; 76.33;400;0;22;3;10;15;0;19;0;0;0;0;766;721; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.88; ERRORS : 
13165; 0.60; 1.20; 18.87; 10263.00; 31.12; 79.74;400;0;22;3;10;15;0;21;0;0;0;0;756;716; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
15165; 0.60; 1.20; 18.88; 10262.80; 31.09; 84.21;400;0;22;3;10;15;0;23;0;0;0;0;752;740; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
17165; 0.60; 1.20; 18.89; 10263.20; 31.04; 88.09;400;0;22;3;10;15;0;25;0;0;0;0;0;0; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS :  CozIR
19165; 0.60; 1.10; 18.90; 10263.40; 31.01; 92.15;400;0;22;3;10;15;0;25;0;0;0;0;750;755; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS :  GPS
