File Created: 	2022-04-26 11:20:46	

	
Times	TC0	TC1	TC2	TC3	TC4	TC5	TC6	TC7	TC8	TC9	TC10	TC11	TC12	TC13	TC14	TC15	aP-µsoot	test	dP1-Fuji	dP1-blå	aP5-bDPF	dP3-DPF	aP1-DMS	aP5-dil	AI3_0	AI3_1	AI3_2	AI3_3	AI3_4	AI3_5	AI3_6	AI3_7	Dpgrön	tmp2	tmp3	tmp4	AI4_0	AI4_1	AI4_2	AI4_3	co	co2	NO	NOx	AI5_0	AI5_1	AI5_2	AI5_3	MFC1 Set Val[mln/min]\t	MFC2 Set Val[mln/min]\t	MFC3 Set Val[mln/min]\t	MFC4 Set Val[mln/min]\t	MFC5 Set Val[mln/min]\t	MFC1 Act Val[mln/min]	MFC2 Act Val[mln/min]	MFC3 Act Val[mln/min]	MFC4 Act Val[mln/min]	MFC5 Act Val[mln/min]	Temp SP	Temp PV	co2 M	co M	
9,92002E-1	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25000E+0	-0,00000E+0	-1,34342E+0	2,21962E-4	-1,00013E-1	-1,25006E-1	-1,27548E+0	-1,80197E+0	6,86980E-8	-2,37941E-7	3,71891E-3	4,12081E-3	-5,33860E-7	-1,96900E-7	4,80096E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,94000E-2	-1,10700E+2
1,99200E+0	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25006E+0	-0,00000E+0	-1,26285E+0	2,22991E-4	-1,00013E-1	-1,24996E-1	-1,27548E+0	-1,80197E+0	-9,14933E-7	-8,93843E-7	3,72318E-3	4,12113E-3	-5,33860E-7	1,31194E-7	4,80096E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,94000E-2	-1,11000E+2
2,99200E+0	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25000E+0	0,00000E+0	-1,96858E-1	2,52814E-4	-1,00005E-1	-1,24996E-1	-1,27552E+0	-1,80197E+0	6,86980E-8	9,00100E-8	3,77958E-3	4,13065E-3	-2,05797E-7	1,31194E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,95000E-2	-1,11000E+2
3,99300E+0	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25000E+0	0,00000E+0	4,72485E-1	2,28133E-4	-1,00013E-1	-1,24996E-1	-1,27546E+0	-1,80212E+0	6,86980E-8	4,17961E-7	3,81500E-3	4,12277E-3	-5,33860E-7	1,31194E-7	8,08262E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,95000E-2	-1,11000E+2
4,99400E+0	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25002E+0	-0,00000E+0	-1,75866E+0	2,48700E-4	-9,99969E-2	-1,25006E-1	-1,27550E+0	-1,80226E+0	-2,59179E-7	-5,65892E-7	3,69694E-3	4,12934E-3	1,22266E-7	-1,96900E-7	1,51930E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,95000E-2	-1,11000E+2
5,99400E+0	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25004E+0	-0,00000E+0	-1,37441E+0	2,19906E-4	-1,00013E-1	-1,25006E-1	-1,27548E+0	-1,80212E+0	-5,87056E-7	-2,37941E-7	3,71728E-3	4,12015E-3	-5,33860E-7	-1,96900E-7	4,80096E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,95000E-2	-1,11000E+2
6,99500E+0	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25002E+0	-0,00000E+0	-2,15451E-1	2,37388E-4	-1,00013E-1	-1,25006E-1	-1,27550E+0	-1,80212E+0	-2,59179E-7	-2,37941E-7	3,77860E-3	4,12573E-3	-5,33860E-7	-1,96900E-7	1,51930E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,96000E-2	-1,11000E+2
7,99500E+0	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25004E+0	0,00000E+0	9,93086E-1	2,25047E-4	-9,99805E-2	-1,25006E-1	-1,27554E+0	-1,80183E+0	-5,87056E-7	9,00100E-8	3,84255E-3	4,12179E-3	7,78392E-7	-1,96900E-7	-5,04402E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,96000E-2	-1,10700E+2
8,99500E+0	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,24998E+0	0,00000E+0	-1,16988E+0	2,52814E-4	-9,99887E-2	-1,24996E-1	-1,27550E+0	-1,80240E+0	3,96575E-7	9,00100E-8	3,72810E-3	4,13065E-3	4,50329E-7	1,31194E-7	1,51930E-7	-8,31143E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,96000E-2	-1,11000E+2
9,99500E+0	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	-1,24998E+0	-0,00000E+0	-7,91830E-1	2,18877E-4	-1,00022E-1	-1,24986E-1	-1,27552E+0	-1,80197E+0	3,96575E-7	-5,65892E-7	3,74810E-3	4,11982E-3	-8,61923E-7	4,59288E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,11000E+2
