File Created: 	2022-04-26 13:44:24	

	
Times	TC0	TC1	TC2	TC3	TC4	TC5	TC6	TC7	TC8	TC9	TC10	TC11	TC12	TC13	TC14	TC15	aP-µsoot	test	dP1-Fuji	dP1-blå	aP5-bDPF	dP3-DPF	aP1-DMS	aP5-dil	AI3_0	AI3_1	AI3_2	AI3_3	AI3_4	AI3_5	AI3_6	AI3_7	Dpgrön	tmp2	tmp3	tmp4	AI4_0	AI4_1	AI4_2	AI4_3	co	co2	NO	NOx	AI5_0	AI5_1	AI5_2	AI5_3	MFC1 Set Val[mln/min]\t	MFC2 Set Val[mln/min]\t	MFC3 Set Val[mln/min]\t	MFC4 Set Val[mln/min]\t	MFC5 Set Val[mln/min]\t	MFC1 Act Val[mln/min]	MFC2 Act Val[mln/min]	MFC3 Act Val[mln/min]	MFC4 Act Val[mln/min]	MFC5 Act Val[mln/min]	Temp SP	Temp PV	co2 M	co M	
9,87998E-1	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	-1,24998E+0	-0,00000E+0	8,07157E-1	2,40473E-4	-1,00005E-1	-1,25006E-1	-1,27552E+0	-1,80212E+0	3,96575E-7	-5,65892E-7	3,83271E-3	4,12671E-3	-2,05797E-7	-1,96900E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,60000E-3	-1,13000E+2
1,98900E+0	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	-1,25000E+0	-0,00000E+0	-1,61611E+0	2,26076E-4	-9,99969E-2	-1,25027E-1	-1,27552E+0	-1,80197E+0	6,86980E-8	-8,93843E-7	3,70449E-3	4,12212E-3	1,22266E-7	-8,53088E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	6,10000E-3	-1,13000E+2
2,98900E+0	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	-1,25004E+0	0,00000E+0	-1,34342E+0	2,53842E-4	-9,99969E-2	-1,25006E-1	-1,27552E+0	-1,80197E+0	-5,87056E-7	9,00100E-8	3,71891E-3	4,13098E-3	1,22266E-7	-1,96900E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	7,90000E-3	-1,13000E+2
3,98900E+0	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	-1,25002E+0	-0,00000E+0	2,62566E-2	2,43558E-4	-9,99887E-2	-1,25006E-1	-1,27552E+0	-1,80183E+0	-2,59179E-7	-2,37941E-7	3,79139E-3	4,12770E-3	4,50329E-7	-1,96900E-7	-1,76236E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,80000E-3	-1,13000E+2
4,98900E+0	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	-1,25004E+0	0,00000E+0	6,70809E-1	2,26076E-4	-9,99969E-2	-1,24996E-1	-1,27552E+0	-1,80226E+0	-5,87056E-7	9,00100E-8	3,82549E-3	4,12212E-3	1,22266E-7	1,31194E-7	-1,76236E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	1,18000E-2	-1,13000E+2
5,98900E+0	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	-1,25004E+0	0,00000E+0	-1,03973E+0	2,52814E-4	-1,00005E-1	-1,24996E-1	-1,27554E+0	-1,80183E+0	-5,87056E-7	4,17961E-7	3,73498E-3	4,13065E-3	-2,05797E-7	1,31194E-7	-5,04402E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	5,94938E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	1,40000E-2	-1,12700E+2
6,98900E+0	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	2,30964E+3	-1,25004E+0	-0,00000E+0	-2,95220E-2	2,51785E-4	-1,00005E-1	-1,25006E-1	-1,27550E+0	-1,80226E+0	-5,87056E-7	-2,37941E-7	3,78844E-3	4,13032E-3	-2,05797E-7	-1,96900E-7	1,51930E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,59688E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	1,66000E-2	-1,12700E+2
7,99000E+0	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	2,30965E+3	-1,25004E+0	0,00000E+0	1,46410E+0	2,47672E-4	-9,99887E-2	-1,24986E-1	-1,27552E+0	-1,80212E+0	-5,87056E-7	9,00100E-8	3,86747E-3	4,12901E-3	4,50329E-7	4,59288E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,94313E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	1,91000E-2	-1,13000E+2
8,99000E+0	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	2,30966E+3	-1,25002E+0	-0,00000E+0	1,93592E-1	2,42530E-4	-1,00005E-1	-1,24996E-1	-1,27552E+0	-1,80212E+0	-2,59179E-7	-5,65892E-7	3,80024E-3	4,12737E-3	-2,05797E-7	1,31194E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,99313E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,17000E-2	-1,13000E+2
9,99000E+0	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	2,30967E+3	-1,25000E+0	-0,00000E+0	-1,09291E-2	2,42530E-4	-9,99969E-2	-1,24996E-1	-1,27554E+0	-1,80183E+0	6,86980E-8	-2,37941E-7	3,78942E-3	4,12737E-3	1,22266E-7	1,31194E-7	-5,04402E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98938E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,43000E-2	-1,13000E+2
