File Created: 	2022-04-26 14:32:02	

	
Times	TC0	TC1	TC2	TC3	TC4	TC5	TC6	TC7	TC8	TC9	TC10	TC11	TC12	TC13	TC14	TC15	aP-µsoot	test	dP1-Fuji	dP1-blå	aP5-bDPF	dP3-DPF	aP1-DMS	aP5-dil	AI3_0	AI3_1	AI3_2	AI3_3	AI3_4	AI3_5	AI3_6	AI3_7	Dpgrön	tmp2	tmp3	tmp4	AI4_0	AI4_1	AI4_2	AI4_3	co	co2	NO	NOx	AI5_0	AI5_1	AI5_2	AI5_3	MFC1 Set Val[mln/min]\t	MFC2 Set Val[mln/min]\t	MFC3 Set Val[mln/min]\t	MFC4 Set Val[mln/min]\t	MFC5 Set Val[mln/min]\t	MFC1 Act Val[mln/min]	MFC2 Act Val[mln/min]	MFC3 Act Val[mln/min]	MFC4 Act Val[mln/min]	MFC5 Act Val[mln/min]	Temp SP	Temp PV	co2 M	co M	
9,91002E-1	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25002E+0	-0,00000E+0	-3,57196E-2	2,49729E-4	-1,00013E-1	-1,24996E-1	-1,27552E+0	-1,80197E+0	-2,59179E-7	-5,65892E-7	3,78811E-3	4,12966E-3	-5,33860E-7	1,31194E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,90000E-2	-1,16700E+2
1,99100E+0	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25000E+0	-0,00000E+0	-1,31863E+0	2,49729E-4	-1,00005E-1	-1,25006E-1	-1,27550E+0	-1,80183E+0	6,86980E-8	-8,93843E-7	3,72023E-3	4,12966E-3	-2,05797E-7	-1,96900E-7	1,51930E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,90000E-2	-1,16700E+2
2,99100E+0	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25002E+0	-0,00000E+0	1,14183E+0	2,49729E-4	-9,99887E-2	-1,24975E-1	-1,27556E+0	-1,80197E+0	-2,59179E-7	-2,37941E-7	3,85042E-3	4,12966E-3	4,50329E-7	7,87382E-7	-8,32568E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,90000E-2	-1,16700E+2
3,99200E+0	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	-1,24998E+0	-0,00000E+0	7,38983E-1	2,21962E-4	-1,00005E-1	-1,25006E-1	-1,27554E+0	-1,80226E+0	3,96575E-7	-2,37941E-7	3,82910E-3	4,12081E-3	-2,05797E-7	-1,96900E-7	-5,04402E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,91000E-2	-1,16700E+2
4,99300E+0	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25004E+0	-0,00000E+0	-8,72399E-1	2,51785E-4	-1,00013E-1	-1,25006E-1	-1,27548E+0	-1,80240E+0	-5,87056E-7	-5,65892E-7	3,74384E-3	4,13032E-3	-5,33860E-7	-1,96900E-7	4,80096E-7	-8,31143E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,91000E-2	-1,17000E+2
5,99300E+0	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	2,30996E+3	-1,25000E+0	-0,00000E+0	-5,43125E-2	2,38416E-4	-9,99969E-2	-1,24996E-1	-1,27550E+0	-1,80226E+0	6,86980E-8	-5,65892E-7	3,78713E-3	4,12605E-3	1,22266E-7	1,31194E-7	1,51930E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,72375E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,91000E-2	-1,17000E+2
6,99300E+0	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25002E+0	0,00000E+0	3,29940E-1	2,22991E-4	-9,99887E-2	-1,24996E-1	-1,27552E+0	-1,80197E+0	-2,59179E-7	9,00100E-8	3,80746E-3	4,12113E-3	4,50329E-7	1,31194E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,77875E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,91000E-2	-1,17000E+2
7,99300E+0	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	2,30997E+3	-1,25000E+0	0,00000E+0	-1,90660E-1	2,53842E-4	-9,99887E-2	-1,24996E-1	-1,27552E+0	-1,80212E+0	6,86980E-8	9,00100E-8	3,77991E-3	4,13098E-3	4,50329E-7	1,31194E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,97875E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,91000E-2	-1,17000E+2
8,99300E+0	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	-1,25002E+0	0,00000E+0	3,85719E-1	2,29161E-4	-1,00005E-1	-1,24996E-1	-1,27552E+0	-1,80183E+0	-2,59179E-7	7,45912E-7	3,81041E-3	4,12310E-3	-2,05797E-7	1,31194E-7	-1,76236E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98375E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,92000E-2	-1,17000E+2
9,99400E+0	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	2,30998E+3	-1,25000E+0	-0,00000E+0	-1,34882E-1	2,37388E-4	-1,00005E-1	-1,25016E-1	-1,27548E+0	-1,80212E+0	6,86980E-8	-2,37941E-7	3,78286E-3	4,12573E-3	-2,05797E-7	-5,24994E-7	4,80096E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98000E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,92000E-2	-1,17000E+2
