processor_millis; CozIr_Co2_filtered;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
1;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;679;719;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
2;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682;732;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
3;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;683;661;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
4;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;683;709;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
5;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;688;699;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
6;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694;692;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
7;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;686;644;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
8;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694;716;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
9;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702;731;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-342.28; SDS011 BME680 CCS811
10;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;740;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
11;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710;705;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
12;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;711;729;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-342.28; SDS011 BME680 CCS811
13;0.0498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715;717;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
14;0.0498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;720;771;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
15;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;725;758;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
16;0.0498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;728;684;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
17;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;703;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
18;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;702;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
19;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;743;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
20;0.0497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737;764;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
21;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;700;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
22;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;726;695;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
23;0.0496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;725;726;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
24;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;731;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
25;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;737;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
26;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719;672;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
27;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;713;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
28;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719;733;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
29;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710;678;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
30;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;711;720;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
31;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;710;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
32;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710;711;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
33;0.0494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703;676;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
34;0.0493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;679;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
35;0.0492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;675;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
36;0.049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;701;726;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
37;0.0486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;697;699;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
38;0.0481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;695;654;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
39;0.0472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696;675;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
40;0.0462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693;698;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
41;0.045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693;668;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
42;0.0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;701;726;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
43;0.0416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702;744;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
44;0.0396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709;774;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
45;0.0374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713;703;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
46;0.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;720;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
47;0.0322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;717;750;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
48;0.0295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;764;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
49;0.027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;741;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
50;0.0245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;736;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
51;0.022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735;688;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
52;0.0194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;765;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
53;0.0171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;763;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.86; SDS011 BME680 CCS811
54;0.0149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;758;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
55;0.013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749;751;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
56;0.0113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;756;796;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
57;0.0096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;769;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
58;0.0083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;764;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
59;0.0072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;760;775;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
60;0.0062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755;720;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
61;0.0053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;751;742;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
62;0.0046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749;734;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
63;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;722;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
64;0.0035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;708;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
65;0.0031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732;722;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
66;0.0028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722;684;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-338.25; SDS011 BME680 CCS811
67;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722;721;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-340.67; SDS011 BME680 CCS811
68;0.0023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;716;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
69;0.0021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;711;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
70;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;714;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
71;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;730;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-339.06; SDS011 BME680 CCS811
72;0.0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713;723;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-336.64; SDS011 BME680 CCS811
73;0.0018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;709;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-337.45; SDS011 BME680 CCS811
74;0.0017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;723;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-341.47; SDS011 BME680 CCS811
