processor_millis;SDS011_pm25; SDS011_pm10;BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62000;0;0;0;0;0;0;0;0;22;4;26;8;21;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
64000;0;0;0;0;0;0;0;0;22;4;26;8;21;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
66000;0;0;0;0;0;0;0;0;22;4;26;8;21;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
68000;0;0;0;0;0;0;0;0;22;4;26;8;21;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
70000;0;0;0;0;0;0;0;0;22;4;26;8;21;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
72000;0;0;0;0;0;0;0;0;22;4;26;8;21;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
74000;0;0;0;0;0;0;0;0;22;4;26;8;21;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
76000;0;0;0;0;0;0;0;0;22;4;26;8;21;14;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
78000;0;0;0;0;0;0;0;0;22;4;26;8;21;16;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
80000;0;0;0;0;0;0;0;0;22;4;26;8;21;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
82000;0;0;0;0;0;0;0;0;22;4;26;8;21;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
84000;0;0;0;0;0;0;0;0;22;4;26;8;21;22;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
86000;0;0;0;0;0;0;0;0;22;4;26;8;21;24;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
88000;0;0;0;0;0;0;0;0;22;4;26;8;21;26;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
90000;0;0;0;0;0;0;0;0;22;4;26;8;21;28;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
92000;0;0;0;0;0;0;0;0;22;4;26;8;21;30;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
94000;0;0;0;0;0;0;0;0;22;4;26;8;21;32;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
96000;0;0;0;0;0;0;0;0;22;4;26;8;21;34;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
98000;0;0;0;0;0;0;0;0;22;4;26;8;21;36;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
100000;0;0;0;0;0;0;0;0;22;4;26;8;21;38;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
102000;0;0;0;0;0;0;0;0;22;4;26;8;21;40;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
104000;0;0;0;0;0;0;0;0;22;4;26;8;21;42;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
106000;0;0;0;0;0;0;0;0;22;4;26;8;21;44;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
108000;0;0;0;0;0;0;0;0;22;4;26;8;21;46;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
110000;0;0;0;0;0;0;0;0;22;4;26;8;21;48;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
112000;0;0;0;0;0;0;0;0;22;4;26;8;21;50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
114000;0;0;0;0;0;0;0;0;22;4;26;8;21;52;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
116000;0;0;0;0;0;0;0;0;22;4;26;8;21;54;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
118000;0;0;0;0;0;0;0;0;22;4;26;8;21;56;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
120000;0;0;0;0;0;0;0;0;22;4;26;8;21;58;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
122000;0;0;0;0;0;0;0;0;22;4;26;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
124000;0;0;0;0;0;0;0;0;22;4;26;8;22;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
126000;0;0;0;0;0;0;0;0;22;4;26;8;22;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
128000;0;0;0;0;0;0;0;0;22;4;26;8;22;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
130000;0;0;0;0;0;0;0;0;22;4;26;8;22;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
132000;0;0;0;0;0;0;0;0;22;4;26;8;22;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
134000;0;0;0;0;0;0;0;0;22;4;26;8;22;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
136000;0;0;0;0;0;0;0;0;22;4;26;8;22;14;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
138000;0;0;0;0;0;0;0;0;22;4;26;8;22;16;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
140000;0;0;0;0;0;0;0;0;22;4;26;8;22;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
142000;0;0;0;0;0;0;0;0;22;4;26;8;22;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
144000;0;0;0;0;0;0;0;0;22;4;26;8;22;22;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
146000;0;0;0;0;0;0;0;0;22;4;26;8;22;24;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
148000;0;0;0;0;0;0;0;0;22;4;26;8;22;26;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
150000;0;0;0;0;0;0;0;0;22;4;26;8;22;28;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
152000;0;0;0;0;0;0;0;0;22;4;26;8;22;30;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
154000;0;0;0;0;0;0;0;0;22;4;26;8;22;32;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
156000;0;0;0;0;0;0;0;0;22;4;26;8;22;34;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
158000;0;0;0;0;0;0;0;0;22;4;26;8;22;36;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
160000;0;0;0;0;0;0;0;0;22;4;26;8;22;38;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
162000;0;0;0;0;0;0;0;0;22;4;26;8;22;40;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
164000;0;0;0;0;0;0;0;0;22;4;26;8;22;42;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
166000;0;0;0;0;0;0;0;0;22;4;26;8;22;44;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
168000;0;0;0;0;0;0;0;0;22;4;26;8;22;46;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
170000;0;0;0;0;0;0;0;0;22;4;26;8;22;48;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
172000;0;0;0;0;0;0;0;0;22;4;26;8;22;50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
174000;0;0;0;0;0;0;0;0;22;4;26;8;22;52;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
176000;0;0;0;0;0;0;0;0;22;4;26;8;22;54;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
178000;0;0;0;0;0;0;0;0;22;4;26;8;22;56;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
180000;0;0;0;0;0;0;0;0;22;4;26;8;22;58;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
182000;0;0;0;0;0;0;0;0;22;4;26;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
184000;0;0;0;0;0;0;0;0;22;4;26;8;23;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
186000;0;0;0;0;0;0;0;0;22;4;26;8;23;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
188000;0;0;0;0;0;0;0;0;22;4;26;8;23;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
190000;0;0;0;0;0;0;0;0;22;4;26;8;23;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
192000;0;0;0;0;0;0;0;0;22;4;26;8;23;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
