processor_millis,SDS011_pm25,SDS011_pm10,BME680_temperature,BME680_pressure,BME680_humidity,BME680_gasResistance,CCS811_C02,CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2,CozIr_Co2_filtered,SN1_WE_u,SN1_AE_u,SN2_WE_u,SN2_AE_u,NO2,O3,PT1000 temp,Errors
Starting!
46000,1.70,4.60,0,0,0,0,400,0,22,4,26,8,48,0,0,0,0,0,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-289.09,BME680 CozIR
48000,1.50,4.20,0,0,0,0,400,0,22,4,26,8,48,2,0,0,0,0,456,434,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-289.09,BME680
50000,1.20,3.30,0,0,0,0,400,0,22,4,26,8,48,4,0,0,0,0,461,447,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-290.71,BME680
52000,1.00,2.40,0,0,0,0,400,0,22,4,26,8,48,6,0,0,0,0,457,430,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-292.32,BME680
54000,0.80,2.00,0,0,0,0,400,0,22,4,26,8,48,8,0,0,0,0,455,425,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-290.71,BME680
56000,0.60,1.50,0,0,0,0,400,0,22,4,26,8,48,10,0,0,0,0,452,454,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-291.51,BME680
58000,0.60,1.50,0,0,0,0,400,0,22,4,26,8,48,12,0,0,0,0,440,399,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-288.29,BME680
60000,0.50,1.40,0,0,0,0,403,0,22,4,26,8,48,14,0,0,0,0,430,398,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-291.51,BME680
62000,0.50,1.10,0,0,0,0,400,0,22,4,26,8,48,16,0,0,0,0,432,449,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-290.71,BME680
64000,0.50,1.20,0,0,0,0,400,0,22,4,26,8,48,18,0,0,0,0,421,409,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-291.51,BME680
66000,0.40,1.10,0,0,0,0,400,0,22,4,26,8,48,20,0,0,0,0,419,479,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-289.90,BME680
68000,0.40,1.10,0,0,0,0,400,0,22,4,26,8,48,22,0,0,0,0,424,450,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-289.09,BME680
70000,0.40,1.00,0,0,0,0,400,0,22,4,26,8,48,24,0,0,0,0,429,457,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-289.09,BME680
