processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
60000,2.40, 8.90,24.64, 10110.70, 23.57, 926.95,400, 0,22,4,26,8,26,1,0,0,0,0,00483, 00462,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-311.66,
62000,2.50, 8.60,24.63, 10110.90, 23.56, 924.40,400, 0,22,4,26,8,26,2,0,0,0,0,00478, 00448,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-309.24,
64000,2.70, 10.10,24.57, 10110.90, 23.57, 920.60,400, 0,22,4,26,8,26,4,0,0,0,0,00477, 00471,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-312.46,
66000,2.90, 11.60,24.51, 10110.70, 23.60, 919.34,400, 0,22,4,26,8,26,6,0,0,0,0,00478, 00483,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-310.85,
68000,3.10, 12.70,24.46, 10110.90, 23.66, 914.34,405, 0,22,4,26,8,26,8,0,0,0,0,00491, 00506,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-310.85,
70000,3.30, 12.90,24.43, 10110.90, 23.73, 910.63,405, 0,22,4,26,8,26,10,0,0,0,0,00491, 00483,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-307.63,
72000,3.50, 13.20,24.40, 10111.10, 23.77, 912.48,405, 0,22,4,26,8,26,12,0,0,0,0,00492, 00513,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-309.24,
74000,3.50, 13.30,24.38, 10111.10, 23.79, 913.10,405, 0,22,4,26,8,26,14,0,0,0,0,00488, 00496,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-312.46,
76000,3.60, 13.60,24.36, 10111.10, 23.80, 905.72,405, 0,22,4,26,8,26,16,0,0,0,0,00483, 00444,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-309.24,
78000,3.60, 13.60,24.35, 10110.90, 23.79, 903.29,405, 0,22,4,26,8,26,18,0,0,0,0,00484, 00461,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-310.05,
