processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
0;3.42;13.25;26-mar;0;0;0;0;0;22;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86400000;4.09;13.69;27-mar;0;0;0;0;0;22;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172800000;9.84;28.15;28-mar;0;0;0;0;0;22;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
259200000;3.44;32.61;29-mar;0;0;0;0;0;22;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
345600000;3.17;13.69;30-mar;0;0;0;0;0;22;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
432000000;6.82;35.39;31-mar;0;0;0;0;0;22;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
518400000;4.05;20.59;01-apr;0;0;0;0;0;22;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
604800000;NaN;NaN;02-apr;0;0;0;0;0;22;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
691200000;NaN;NaN;03-apr;0;0;0;0;0;22;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
777600000;NaN;NaN;04-apr;0;0;0;0;0;22;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
864000000;3.00;11.03;05-apr;0;0;0;0;0;22;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
950400000;4.08;6.99;06-apr;0;0;0;0;0;22;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
