processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.60; 2.40; 20.72; 10224.00; 15.37; 0.00;0;0;22;3;4;14;44;31;0;0;0;0;466;471; 0.29; 0.31; 0.41; 0.41; -0.13; 22.94; -2100.67; ERRORS :  GPS
4987; 0.60; 2.30; 20.75; 10223.80; 15.38; 0.00;0;0;22;3;4;14;44;33;0;0;0;0;461;436; 0.29; 0.31; 0.40; 0.41; -0.10; 22.90; -2104.70; ERRORS : 
6987; 0.60; 2.40; 20.76; 10224.40; 15.37; 0.00;400;0;22;3;4;14;44;35;0;0;0;0;461;481; 0.29; 0.31; 0.40; 0.41; -0.09; 22.90; -2101.47; ERRORS : 
8987; 0.60; 2.30; 20.76; 10224.20; 15.37; 0.00;400;0;22;3;4;14;44;37;0;0;0;0;464;481; 0.29; 0.31; 0.40; 0.41; -0.10; 22.90; -2104.70; ERRORS : 
10987; 0.60; 2.40; 20.77; 10224.20; 15.35; 0.00;400;0;22;3;4;14;44;39;0;0;0;0;465;458; 0.29; 0.30; 0.40; 0.41; -0.07; 22.86; -2103.89; ERRORS : 
12987; 0.60; 2.50; 20.77; 10224.00; 15.34; 0.00;400;0;22;3;4;14;44;41;0;0;0;0;466;485; 0.29; 0.30; 0.40; 0.41; -0.08; 22.88; -2099.86; ERRORS : 
14987; 0.60; 2.60; 20.78; 10224.20; 15.34; 0.00;400;0;22;3;4;14;44;43;0;0;0;0;465;454; 0.28; 0.31; 0.40; 0.41; -0.12; 22.91; -2101.47; ERRORS : 
16987; 0.60; 2.60; 20.78; 10224.20; 15.33; 0.00;400;0;22;3;4;14;44;45;0;0;0;0;460;458; 0.28; 0.30; 0.41; 0.41; -0.09; 22.90; -2103.89; ERRORS : 
18987; 0.60; 2.60; 20.78; 10224.20; 15.32; 0.00;400;0;22;3;4;14;44;47;0;0;0;0;460;472; 0.29; 0.31; 0.40; 0.41; -0.10; 22.90; -2103.89; ERRORS : 
20987; 0.60; 2.60; 20.79; 10224.20; 15.30; 0.00;400;0;22;3;4;14;44;49;0;0;0;0;459;443; 0.29; 0.31; 0.40; 0.41; -0.08; 22.89; -2101.47; ERRORS : 
